timestamp,node_id,voltage,neighbor1_voltage,neighbor2_voltage,neighbor_mean,neighbor_variance,difference_from_neighbors,voltage_ratio,label,scenario_type
2026-03-11 11:20:55.514932,substation_016,118.37,152.27,125.35,138.81,181.2201,20.44,0.8528,0,genuine_fault
2026-03-11 11:20:56.014932,substation_041,83.47,117.31,108.53,112.92,19.2594,29.45,0.7392,0,genuine_fault
2026-03-11 11:20:56.514932,substation_045,138.08,231.71,230.01,230.86,0.7193,92.78,0.5981,1,fdi_attack
2026-03-11 11:20:57.014932,substation_038,0.0,228.62,229.24,228.93,0.095,228.93,0.0,1,fdi_attack
2026-03-11 11:20:57.514932,substation_022,31.36,232.61,229.95,231.28,1.7584,199.92,0.1356,1,fdi_attack
2026-03-11 11:20:58.014932,substation_000,346.45,227.52,229.6,228.56,1.0811,117.89,1.5158,1,fdi_attack
2026-03-11 11:20:58.514932,substation_017,52.68,230.31,230.84,230.57,0.0709,177.9,0.2285,1,fdi_attack
2026-03-11 11:20:59.014932,substation_031,228.74,224.47,229.52,227.0,6.3924,1.74,1.0077,0,normal
2026-03-11 11:20:59.514932,substation_023,354.84,228.71,229.83,229.27,0.3163,125.57,1.5477,1,fdi_attack
2026-03-11 11:21:00.014932,substation_014,231.62,232.48,231.39,231.94,0.2959,0.31,0.9986,0,normal
2026-03-11 11:21:00.514932,substation_005,105.04,122.73,112.58,117.65,25.7581,12.61,0.8928,0,genuine_fault
2026-03-11 11:21:01.014932,substation_021,233.1,230.87,227.99,229.43,2.0726,3.68,1.016,0,normal
2026-03-11 11:21:01.514932,substation_038,144.28,145.6,167.54,156.57,120.3507,12.29,0.9215,0,genuine_fault
2026-03-11 11:21:02.014932,substation_039,0.0,230.98,231.46,231.22,0.0578,231.22,0.0,1,fdi_attack
2026-03-11 11:21:02.514932,substation_004,150.88,230.66,228.76,229.71,0.8976,78.83,0.6568,1,fdi_attack
2026-03-11 11:21:03.014932,substation_040,88.31,101.29,91.33,96.31,24.8029,8.0,0.9169,0,genuine_fault
2026-03-11 11:21:03.514932,substation_002,154.82,230.82,230.33,230.57,0.0595,75.75,0.6715,1,fdi_attack
